mahjong;cambodia
palazzo_pitti;margaret_thatcher
ferdinandea;mohs_scale_of_mineral_hardness
coal;beet
music_of_the_bahamas;list_of_rivers_by_length
du_fu;adolf_hitler
ulawun;spanish_inquisition
chemistry;gabon
long-billed_vulture;niger
technology;cheese
metamorphic_rock;plutonium
montserrat;sputnik_2
cayman_islands;joseph_haydn
palau;bacteria
silver;asthma
graphic_novel;optical_telescope
the_canadian;olympic_games
health;vladimir_lenin
goldfish;bonobo
autocracy;list_of_essential_oils
first_macedonian_war;sound
greenhouse_effect;platypus
mesopotamia;guinness
almond;dunnock
fossil_fuel;indus_valley_civilization
mysticism;trout
milk;pompeii
chennai;the_marriage_of_figaro
inca_empire;dam
radar;house_of_lords
communism;trichinosis
mount_rainier;madagascar
charlemagne;roman_catholic_church
country;string_theory
horn_of_africa;ununpentium
voltaire;bat-eared_fox
chad;calcium_chloride
rembrandt;dominican_republic
turtle;human
harald_maddadsson;obi-wan_kenobi
ant;superconductivity
propaganda;arctic_ocean
potassium;cretaceous
dam;vampire_bat
iodine;macintosh
mahatma_gandhi;tornado
chives;decade_volcanoes
potato;anguilla
equatorial_guinea;vampire
seed;iran
humus;gangtok
limerick;wind
diamond;yellow_fever
selena;thallium
moon;lake_edward
oleg_of_novgorod;taoism
insect;sultan
congo_river;tokelau
jomsvikings;osiris
austria;ocean
khudai_khidmatgar;whale
rhodium%28iii%29_chloride;anthony_van_dyck
renaissance_music;music
sorghum;neon
vladimir_lenin;acetone
nazism;poland
flute;world_war_ii
shetland;indian_standard_time
mount_st._helens;henry_ii_of_england
brazil;munich
football;scotland
volt;portuguese_language
katana;jonah_lomu
privy_council_of_the_united_kingdom;gregor_mendel
19th_century;mikhail_gorbachev
dam;kiev
maldives;church_of_england
beekeeping;quantum_chemistry
tao_te_ching;swaziland
lyme_disease;jet_engine
george_h._w._bush;new_york_city
helen_gandy;water
a_cappella;jocelin
viking;beaver
john_of_england;jordan
gibraltar;acetic_acid
full_moon;llywelyn_the_great
wellington;george_iv_of_the_united_kingdom
david_hume;war_of_the_league_of_cambrai
latin;nuclear_power
chemistry;george_h._w._bush
chelsea_f.c.;football
great_red_spot;tobacco_smoking
llywelyn_the_great;flower
barracuda;sulfur
magnet;fish
palm_oil;samoa
flag_of_hong_kong;diego_maradona
national_hockey_league;roman_catholic_church
united_states_bill_of_rights;sahara
poland;invertebrate
brighton;roman_road
mummy;karl_marx
multiple_sequence_alignment;bill_clinton
jump_rope;republic_of_macedonia
ape;cricket
batman;whale_shark
wake_island;tropical_cyclone
mexico;renminbi
akhenaten;liberal_democracy
baboon;education
anglicanism;woodrow_wilson
persian_literature;vatican_city
osama_bin_laden;war_of_the_spanish_succession
americium;macbeth_of_scotland
asparagus;macbeth
iran;congo_river
drum_and_bass;autocracy
american_football;oregon
alfred_nobel;belarus
gas_tungsten_arc_welding;pig
radio;animal_rights
first_macedonian_war;odysseus
english_channel;terrorism
wine;the_hobbit
rosemary;glaxosmithkline
rosemary;symmetry
plant;cretaceous
dundee_united_f.c.;antarctic_krill
information;papal_conclave
biosphere;comet_hyakutake
noam_chomsky;child
robinson_crusoe;rugby_football
windows_xp;yamoussoukro
pride_and_prejudice;fossil_fuel
qin_dynasty;american_revolutionary_war
jewellery;first_crusade
tibet;pluto
brothers_grimm;flanders
photon;edward_ii_of_england
snow_goose;vanuatu
argyle_diamond_mine;oviraptor
tenzin_gyatso%2c_14th_dalai_lama;star
nicaragua;leon_trotsky
bt_tower;egypt
the_temptations;myocardial_infarction
palladium;sydney
international_court_of_justice;swiss_federal_council
norfolk;romulus_augustus
quetzalcoatl;chromatic_aberration
momentum;proxima_centauri
absolute_zero;mango
dominican_republic;william_shakespeare
universe;federated_states_of_micronesia
faroe_islands;nintendo
oppression;infrastructure
owl;time
african_grey_parrot;genghis_khan
saturn;germanium
liechtenstein;baltic_sea
battle_of_marathon;shinto
scottish_gaelic_language;gmail
theatre;walrus
fungus;ipod
elementary_arithmetic;walt_whitman
immanuel_kant;george_ii_of_great_britain
apple;harry_potter
nepal;guinness
economy_of_pakistan;wolfgang_amadeus_mozart
pel%c3%a9;whale
italy;austria
newspaper;r%c3%a9union
abkhazia;henry_h._rogers
rio_tinto_group;austria
music_of_the_trecento;calcium_chloride
yangtze_river;board_game
india;karl_popper
andy_warhol;philippines
b_vitamins;theatre
slovakia;pete_sampras
pound_sterling;flag_of_mexico
lagos;johann_sebastian_bach
toluene;steam_engine
rhode_island;william_thomson%2c_1st_baron_kelvin
zambezi;turkey_%28bird%29
arthur_sullivan;rowan_williams
malcolm_x;14th_century
workchoices;iceland
diego_garcia;reptile
cooperative;ethanol
birth_control;liverpool
columba;actor
henry_vi_of_england;leon_trotsky
donald_duck;acid_rain
information;fossil_fuel
pope_pius_xii;whale
international_law;milgram_experiment
crimean_karaites;bioinformatics
astronomy;olmec
humus;kosovo
tooth_enamel;eldfell
hurricane_john_%282006%29;vietnam
rabat;creationism
wrestling;aluminium_chloride
quark;iceland
pentateuch;c%2b%2b
literature;bioinformatics
maghreb;sydney
spanish_conquest_of_the_inca_empire;gas
derby;robert_schumann
russian_language;united_nations
glass;world_war_ii
toluene;bee
cystic_fibrosis;european_space_agency
pyongyang;jupiter
tex;people%27s_republic_of_china
compact_disc;star
heliocentrism;arsenic
scotland;england
alexander_graham_bell;crusades
minnesota;cuba
%e2%82%ac2_commemorative_coins;irish_sea
iranian_peoples;mount_vesuvius
mikhail_gorbachev;pumpkin
panama;great_lakes
dallas%2c_texas;ivory-billed_woodpecker
senegal;lake_victoria
slovakia;ocean
safflower;tel_aviv
milgram_experiment;city
oliver_twist;plymouth
simcity;quantum_mechanics
hurricane_katrina;ape
electromagnetic_radiation;technetium
lens_%28anatomy%29;slovakia
common_eland;john_adams
james_garfield;jomsvikings
political_economy;istanbul
argan;moscow
fire;adolf_hitler
george_i_of_great_britain;british_east_india_company
health;neil_young
human_rights;french_open_%28tennis%29
coffee;american_popular_music
osaka;gordon_brown
boron;attack_on_pearl_harbor
oil_painting;baghdad
economy_of_africa;scurvy
richard_i_of_england;puerto_rico
jerusalem;flanders
backgammon;nutrition
rwandan_genocide;jerusalem
tuberculosis;tower_of_london
mining;atom
natalie_portman;natural_selection
investment_banking;edmond_halley
fresh_water;eurasian_eagle_owl
avocado;newcastle_upon_tyne
bat-eared_fox;the_x-files
north_sea;tupac_shakur
m6_motorway;west_bank
openoffice.org;music
ice_hockey;sunflower
caesar_cipher;vanilla
marcus_allen;mark_antony
citrus;vietnam
zeus;michael_jordan
summer;tower_of_london
eurasian_collared_dove;demand_note
ernest_rutherford;northern_mariana_islands
malaysia;cloud
star_trek;binoculars
english_peasants%27_revolt_of_1381;church_of_england
belize;zebra_shark
asparagus;edward_v_of_england
india;adolf_hitler
arctic_tern;gabon
edward_the_confessor;agriculture
hey_jude;glasgow
x_window_system;manufacturing
carrot;humpback_whale
canadian_house_of_commons;brain
liechtenstein;corporation
architecture;kenya
yemen;ronald_reagan
minnesota;tunisia
american_revolutionary_war;north_america
quito;pyramid
retreat_of_glaciers_since_1850;nitrification
harry_potter;lead
monopoly_%28game%29;lake_tahoe
weed;abbey
francis_bacon;oxygen
cerebellum;winston_churchill
okapi;winter
humus;blue_shark
tigris;cyanocobalamin
spacecraft_propulsion;william_gilbert
brown_trout;weapon
rice;galaxy
tooth_development;blue_shark
logic;dilophosaurus
tiger;calvin_and_hobbes
history_of_new_jersey;tennis
joan_of_arc;windsor_castle
hip_hop_music;war
north_korea;flower
ethnic_group;honey_bee
baghdad;latin_america
tasmanian_devil;guitar
quantum_chemistry;william_howard_taft
mauritania;string_theory
mahjong;singapore
crab_nebula;great_barrier_reef
jaws_%28film%29;apple
capitalism;the_bahamas
soviet_union;taj_mahal
algiers;ivory
tennis;corrosion
number;ku_klux_klan
fire;star
mount_kilimanjaro;igneous_rock
ascii;avacha_volcano
bontebok;acid_rain
dutch_language;european_union
sri_lanka;channel_islands
dartmoor;internet_explorer
statue_of_zeus_at_olympia;genoa
aberdeen;bread
hurricane_ivan;john_marshall
silurian;battle_of_stalingrad
richard_nixon;calcite
dante_alighieri;frederick_douglass
mongoose;first_crusade
super_chief;cape_town
cereal;bhutan
mount_rushmore;plum
coffee;microscope
mercia;lunar_eclipse
iron%28iii%29_chloride;philosophy
history_of_slavery;ku_klux_klan
praia;george_h._w._bush
parsley;emotion
jerusalem;hsbc
norman_conquest_of_england;sumatra
desert_locust;berkelium
coconut_crab;rosetta_stone
benzene;battle_of_moscow
dolphin;battle_of_midway
computer_programming;writing
wikipedia;geometry
ukraine;rugby_world_cup
the_cantos;printmaking
spanish_inquisition;royal_geographical_society
history_of_computing_hardware;imperial_japanese_navy
william_ii_of_england;ice_hockey
ice_sheet;vinaya
white_cliffs_of_dover;gas_tungsten_arc_welding
albinism;pope_pius_xii
montreal;computer
12th_century;geography_of_ireland
ordinal_number;star_trek__deep_space_nine
haiti;pikachu
hurricane_ivan;baltimore%2c_maryland
triumph_of_the_will;ernest_hemingway
entropy;doha
canal;kazakhstan
house_sparrow;matter
wall_street;irrigation
george_eliot;galveston_hurricane_of_1900
cyclops;paprika
list_of_european_union_member_states_by_accession;ancient_egypt
gmail;demand_note
eocene;bay_area_rapid_transit
2005_kashmir_earthquake;analytical_marxism
indo-greek_kingdom;radon
scattered_disc;actor
anne_frank;ireland
the_illuminatus%21_trilogy;1st_century
westminster_system;emotion
canal;apple
barbados;virus
list_of_u.s._states_by_date_of_statehood;benjamin_franklin
sodium;atlantic_ocean
cooperative;auckland
sand_art_and_play;krypton
computer_science;edible_salt
walt_disney;euro
egyptian_pyramids;william_iv_of_the_united_kingdom
meteorology;ordinary_differential_equation
hunger;irish_sea
microraptor;caspian_sea
bermuda;tamil_people
luminiferous_aether;islam
cyclops;painting
canada;birmingham
telephone;yeti
desert_locust;mosaic
james_d._watson;electricity
erwin_rommel;h.d.
eastenders;hirohito
17th_century;lhasa
arecaceae;history_of_anglo-saxon_england
telescope;mammoth
scent_of_a_woman;diego_garcia
education_in_the_united_states;american_revolutionary_war
war;sim%c3%b3n_bol%c3%advar
tay-sachs_disease;gas_giant
corporation;penguin
three_gorges_dam;currency
electric_charge;potassium_nitrate
saturn_v;education
rainforest;kuru_%28disease%29
oenothera;dundee_united_f.c.
yeti;plato
royal_navy;dandelion
animal_law;algerian_civil_war
james_bond;african_slave_trade
star_wars;jesus
russian_language;edward_teller
national_anthem_of_russia;luftwaffe
william_henry_harrison;faroe_islands
political_science;drought
juvenile_delinquency;fertilizer
order_of_canada;new_delhi
effect_of_hurricane_katrina_on_new_orleans;educational_psychology
tea;cheese
mongoose;toronto
adolf_hitler;mahatma_gandhi
basketball;john_constable
cobalt;yellowstone_national_park
siege;post-glacial_rebound
ascii;netherlands_antilles
roman_britain;voting
albert_einstein;cuba
book_of_kells;chile
hippocrates;pompeii
rainbow;epic_of_gilgamesh
taiwan;brown_trout
bob_marley;zeus
earth;barley
stuttering;hurricane_philippe_%282005%29
anne_frank;greek_mythology
emu;gazelle
beaver;sesame_street
prague;electrical_resistance
soup;thomas_aquinas
katana;france
prime_minister_of_the_united_kingdom;chinese_language
horn_of_africa;sun
axe;code_of_hammurabi
actor;canterbury_cathedral
earthquake;cerium
dolphin;plains_zebra
alpaca;old_english_language
babe_ruth;motion_%28physics%29
bath_school_disaster;maghreb
venus;battle_of_normandy
continent;transit_of_venus
alfred_the_great;french_language
vegetable;mars_exploration_rover
antoine_lavoisier;chemistry
pompeii;popular_culture
data_encryption_standard;leonardo_da_vinci
woodworking;denis_law
university_of_texas_at_austin;paul_mccartney
cloud;common_cold
golden_eagle;euclid
albigensian_crusade;invasive_species
acid_rain;tamil_language
vole;strait_of_malacca
saxophone;maxwell%27s_equations
glastonbury_festival;rose-ringed_parakeet
citrus;internet
fossil_record;john_marshall
double_bass;johnston_atoll
summer_hill%2c_new_south_wales;hungary
henry_iv_of_england;cocoa
dog;cancer
conflict;homer
aquarium;toy_story
rabies;batman
ancient_egypt;taipei
fossil_record;bob_dylan
beijing;european_parliament
babylonia;ottoman_empire
mozilla_firefox;indonesian_language
red_dwarf;woodrow_wilson
johannes_gutenberg;communism
zulu;jesus
john_maynard_keynes;parthenon
margin_of_error;du_fu
bay_of_bengal;monrovia
francis_bacon;phosphorus
igneous_rock;chives
tin;cocos_%28keeling%29_islands
electromagnetic_radiation;energy
scottish_highlands;bird
benjamin_franklin;microsoft
chad;henry_iii_of_england
coffee;australian_english
selenium;henry_iii_of_england
winter;monaco
dna;john_sentamu
gerald_durrell;soil
collapse_of_the_world_trade_center;bohemian_rhapsody
anno_domini;athletics_%28track_and_field%29
supply_and_demand;9th_century
radon;ann_arbor%2c_michigan
william_mahone;cape_town
lettuce;calcium_chloride
technology;canadian_house_of_commons
rococo;nutmeg
eye;mongol_empire
fiberglass;anne_frank
momentum;ceres_%28dwarf_planet%29
democracy;africa
neon;tide
scottish_episcopal_church;macbeth_of_scotland
love;weapon
italo_disco;canadian_football
iraq;scramble_for_africa
keira_knightley;senegal
pyotr_ilyich_tchaikovsky;attack_on_pearl_harbor
mount_osmond%2c_south_australia;indian_independence_movement
theatre_royal%2c_drury_lane;flat_earth
photon;christopher_columbus
bridge;magic__the_gathering
mother_teresa;metric_expansion_of_space
volcano;sodium_hydroxide
manifest_destiny;soddo_language
baroque;nile
cayman_islands;leicester
dayuan;shark
bristol;maputo
ghana;string_theory
imagism;ku_klux_klan
beaver;internet
heraldry;woodpecker
supreme_court_of_the_united_states;wessex
fifa;indira_gandhi
pea;bacteria
crystal;skiing
absolute_zero;london_bridge
maldives;biology
vampire;galileo_galilei
bioinformatics;c%c3%b4te_d%27ivoire
peter_i_of_russia;buddhism
harry_s._truman;baseball
wildebeest;prion
tree;celtic_mythology
lake_powell;distilled_beverage
khartoum;turtle
history_of_greece;odysseus
wave;slavery
stockholm;washington%2c_d.c.
weymouth;canute_the_great
william_iii_of_england;woodrow_wilson
visual_arts;ecuador
lyme_disease;food
coin;southampton
rhubarb;indira_gandhi
mosque;culture
ununpentium;flamingo
troop_sleeper;force
phonograph_cylinder;m25_motorway
interpol;manila
billie_holiday;wind
the_bahamas;ornithischia
jiaogulan;andromeda_galaxy
cystic_fibrosis;corporate_finance
constitutional_monarchy;calcium
lyon;canada
game;astronomy
waste_management;ancient_egypt
tarragon;oxbow_lake
super_mario_64;gunpowder
house_martin;berlin
philippines;biosphere
fossil_record;amazon_river
kyrgyzstan;leonardo_da_vinci
sleep;rainforest
diamond;saturn
order_of_the_thistle;colorado_river
cleopatra_vii;fish
soil_ph;eagle
philosophy_of_mind;vinaya
arctic_ocean;water_resources
aristotle;food
game;election
2005_hertfordshire_oil_storage_terminal_fire;franz_schubert
technetium;chelsea_f.c.
banana;adolf_hitler
abbey;bj%c3%b6rn_borg
synthesizer;washington_metro
finland;adolf_hitler
honey_bee;tower_bridge
sundew;apple
tin%28ii%29_chloride;nitrogen
rio_tinto_group;sputnik_1
planetary_nebula;league_of_nations
bog;rome
sociology;frog
bison;stanley%2c_falkland_islands
babylonia;hubbard_glacier
passenger_pigeon;ireland
yes_minister;battle_of_the_santa_cruz_islands
matthew_brettingham;frank_lloyd_wright
people%27s_republic_of_china;argentina
zinc_chloride;canute_the_great
nitrogen;itunes
trafalgar_square;marshall_plan
gmail;british_isles
mongoose;exploration_of_mars
15th_century;the_last_supper_%28leonardo%29
wallaby;kangaroo
church_of_england;nitrogen_fixation
planetary_habitability;communism
lake_tahoe;osmium
alexander_graham_bell;canadian_football
bamako;elephant
comet_hale-bopp;double_bass
silicon;plains_zebra
firearm;shinto
canadian_charter_of_rights_and_freedoms;history_of_post-soviet_russia
oliver_twist;latin_america
mahatma_gandhi;jesus
rainbow;soup
human;metric_expansion_of_space
taiwan;fine_art
lyon;queen_%28band%29
mining;west_virginia
speed_of_light;napoleon_i_of_france
ralph_nader;peter_i_of_russia
czech_republic;sikhism
miranda_otto;zeus
palestinian_territories;planetary_habitability
south_china_sea;praseodymium
quartz;s%c3%a3o_tom%c3%a9
gulf_of_mexico;floppy_disk
ebony;oxygen
gothenburg;great_cormorant
passenger_pigeon;horn_of_africa
mount_st._helens;nuclear_weapon
linus_pauling;folic_acid
devonian;kansas_city%2c_missouri
helsinki;space_shuttle_columbia
west_flemish;charles_babbage
civil_rights;property
indira_gandhi;optical_telescope
ordinary_differential_equation;rugby_football
magpie;grand_slam_%28tennis%29
electric_charge;manchester_united_f.c.
edinburgh;libreville
koryaksky;river
menstrual_cycle;vanadium
adolf_hitler;germany
music_of_antigua_and_barbuda;apple
california;africa
eocene;vanilla
lindisfarne_gospels;slovenia
film;chess
19th_century;claudius
babylonia;space_shuttle_program
infrastructure;great_britain
mecca;coconut_crab
harry_potter;quartz
galah;franks
a_tale_of_a_tub;queen_%28band%29
saurischia;roman_catholic_church
hello_garci_scandal;astronomy
list_of_areas_in_the_national_park_system_of_the_united_states;pok%c3%a9mon_trading_card_game
loch;tofu
j%c3%b3zef_pi%c5%82sudski;mary_ii_of_england
himno_nacional_mexicano;das_kapital
mind;tropical_storm_odette_%282003%29
philosophy;adolf_hitler
pig;sea
family;guatemala
podcasting;india
police;canada
10th_century;11th_century
lake_tanganyika;rhode_island
battle_of_austerlitz;6th_century
pac-man;amsterdam
wallis_and_futuna;english_language
animation;stage_%28theatre%29
political_economy;geography
guinea-bissau;horn_of_africa
google;adolf_hitler
philately;president_of_the_united_states
achilles;great_white_shark
at%26t;vegetable
mohs_scale_of_mineral_hardness;netherlands
super_mario_64;belfast
hiv;sugar
world_war_ii;prime_number
richard_wagner;wombat
bull_shark;irish_sea
edward_iii_of_england;easter_island
abuja;bill_clinton
sundew;comet
victoria_of_the_united_kingdom;the_rite_of_spring
madagascar;triumph_of_the_will
ipswich;north_korea
interpol;indonesia
swallow;euclid
roman_britain;tashkent
philip_ii_of_spain;prion
fundamental_theorem_of_arithmetic;physical_science
commodore_64;library
minmi_%28dinosaur%29;montreal
yellow_river;computer
mango;flag_of_hong_kong
british_monarchy;brothers_grimm
mechanical_work;sigmund_freud
bill_gates;animation
columbia_river;skiing
history_of_south_carolina;dna
chicken;thorium
human_rights;gossypium
henry_david_thoreau;the_lord_of_the_rings
harley-davidson;federal_bureau_of_investigation
benito_mussolini;rotterdam
temperate;rabindranath_tagore
edward_iii_of_england;convention_on_the_rights_of_the_child
turtle;lisbon
quantum_mechanics;roman_empire
common_cold;great_lakes
upsilon_andromedae_b;roentgenium
tin_whistle;metal
tsar_bomba;gulf_of_mexico
book;chemistry
ice_sheet;william_shakespeare
yuri_gagarin;otter
bahrain;21st_century
netherlands;baroque
akkadian_empire;2004_indian_ocean_earthquake
dvd;fluorine
u.s._state;east_flemish
wayne_rooney;yuri_gagarin
ganesha;bratislava
mass_media;tennis_masters_cup
time_zone;euphrates
african_wild_dog;battle_of_normandy
pythagorean_theorem;psychology
thunderstorm;energy
beetle;world_trade_organization
trans-siberian_railway;oasis_%28band%29
ice_age;gottfried_leibniz
brussels;thallium
great_comet_of_1882;skylark
hurricane_camille;battle_of_stalingrad
dresden;vanuatu
confucius;wasp
dakar;petroleum
internet;monaco
rock_pigeon;feldspar
siege;markup_language
tanzania;federal_bureau_of_investigation
vinaya;alternating_current
woodpecker;adolf_hitler
molybdenum;cattle
anemia;european_space_agency
saint_lucia;ming_dynasty
telecommunication;france_in_the_american_revolutionary_war
antarctic_krill;dutch_language
second_crusade;spain
17th_century;attack_on_pearl_harbor
gibraltar;wrestling
berlin_wall;cricket
san_jose%2c_california;coccinellidae
batholith;rwanda
estonia;republic_of_china
radium;finance
god;du_fu
ulysses_s._grant;crustacean
police;liverpool_and_manchester_railway
minneapolis%2c_minnesota;north_sea
aircraft_carrier;gibraltar
manufacturing;royal_air_force
western_sahara;vertebrate
wren;lithium
united_kingdom;sport
communism;21st_century
united_states_declaration_of_independence;wayne_rooney
gas;estonia
albrecht_d%c3%bcrer;deity
vegetation;pluto
oil_painting;apple
mahjong;marcel_lefebvre
ishango_bone;tuna
wombat;calvin_coolidge
behistun_inscription;saint_petersburg
guitar;u.s._open_%28tennis%29
space_suit;pacific_ocean
hindi;grand_slam_%28tennis%29
nobelium;archaeopteryx
avocado;mahabharata
rer;mount_rainier
glasgow;athena
arctic_circle;sydney
time;munich
polish-soviet_war;walter_scott
sperm_whale;fire
panama;windows_vista
windows_2000;whale_shark
edward_iii_of_england;islam
plate_tectonics;moldovans
canadian_charter_of_rights_and_freedoms;titanium
the_wall_street_journal;milk
battle_of_austerlitz;tupac_shakur
the_picture_of_dorian_gray;solomon_islands
federal_bureau_of_investigation;wales
britney_spears;millard_fillmore
english_channel;bible
j._k._rowling;newark%2c_new_jersey
russian_language;saint_petersburg
berlin;robert_peel
haiti;che_guevara
dill;new_moon
neptune;southern_ocean
creation-evolution_controversy;arsenic
government_of_france;nikola_tesla
maldives;planet
felix_the_cat;jesus
statue_of_zeus_at_olympia;cyanocobalamin
sea_of_galilee;funchal
global_warming;ulysses_s._grant
henry_iii_of_england;adolf_hitler
extraterrestrial_life;myanmar
turkey;avalanche
cubism;equal_protection_clause
gnome;paris
the_lorax;platinum
eric_clapton;boston%2c_massachusetts
suleiman_the_magnificent;potato
local_government_in_the_united_kingdom;tanzania
henry_vii_of_england;rockall
clifton_suspension_bridge;internet
quatermass_and_the_pit;ordination_of_women
nitrogen_fixation;absolute_zero
swaziland;organization
board_game;hebrides
ununtrium;aruba
amsterdam;amtrak
treasure_island;space_shuttle_columbia_disaster
fencing;principality
dominican_republic;herbert_hoover
schizophrenia;berlin
graphic_novel;mount_vesuvius
south_africa;portsmouth
marie_curie;education_in_the_united_states
michael_ramsey;enigma_machine
madrid;homer
lake_district;atlantic_ocean
fascism;abraham_lincoln
flamingo;greenhouse_effect
tennis_masters_cup;star_trek__the_original_series
90377_sedna;sirius
super_bowl_xl;elagabalus
medal_of_honor;bacteria
michael_faraday;french_revolution
turkey;mississippi_river
ethiopia;diamond
galileo_galilei;franks
bucharest;beijing
great_pyramid_of_giza;thucydides
kitsch;battle_of_stalingrad
black_rhinoceros;poison_gas_in_world_war_i
bill_clinton;eyelid
diabetes_mellitus;sweden
nuclear_weapon;lisbon
pea;united_arab_emirates
meningitis;geology
fermium;portugal
damon_hill;sim%c3%b3n_bol%c3%advar
electric_field;cyclops
alternative_rock;michael_faraday
delhi;rowan_williams
cinema_of_the_united_states;iron_maiden
all_blacks;thallium
jurassic;william_wilberforce
giraffe;zebra_shark
william_shakespeare;dublin
asia;arctic
wasabi;the_holocaust
miguel_de_cervantes;belfast
battle_of_leyte_gulf;eye
tofu;stem_cell
google;yenisei_river
gorilla;thallium
canal;libya
history;indonesia
nintendo_entertainment_system;logic
ferdinand_magellan;avocado
hutu;redwood_national_and_state_parks
plymouth;sierra_leone
rock_of_gibraltar;helsinki
battle_of_leyte_gulf;japan
south_china_sea;french_language
bible;hyde_park%2c_london
moon;riyadh
united_kingdom;robert_baden-powell%2c_1st_baron_baden-powell
heliocentrism;vulgar_latin
michelangelo;israel
supreme_court_of_the_united_states;football
san_diegan;allah
south_china_sea;yangtze_river
platypus;french_language
crusades;essential_oil
royal_national_theatre;amazon_basin
blue_peter;great_yarmouth
biotechnology;mancala
fatty_acid;plutonium
paul_dirac;plains_zebra
hanoi;united_states_house_of_representatives
australia;sydney
lithuania;whale
battle_of_austerlitz;angel_shark
jane_eyre;selenium
british_empire;coffee
potato;monaco
working_poor;language
monoclonius;international_red_cross_and_red_crescent_movement
yttrium;dominica
pigment;scottish_gaelic_language
dog;venus
dolphin;upsilon_andromedae_c
greece;american_football
henry_ford;baltic_sea
valpara%c3%adso;hellenistic_greece
gnu_project;bbc
darth_vader;roman_catholic_church
architecture;vampire_bat
central_processing_unit;brussels
isambard_kingdom_brunel;trigonometry
richard_feynman;computer_programming
arithmetic;wellington
england;italy
hellenistic_greece;aesthetics
nuclear_fission;scramble_for_africa
bald_eagle;george_washington
economics;bruce_springsteen
david_copperfield_%28novel%29;dubai
guangzhou;mecca
natalie_portman;kerala
forth;anne_frank
clock;electron_beam_welding
universe;copper%28i%29_chloride
vitamin_d;cleopatra_vii
communication;blackpool
peanut;river_severn
latvia;flemish_people
baker_island;united_states
kangaroo;algiers
rutherford_b._hayes;tank
bruce_springsteen;mammoth_cave_national_park
francium;birth_control
falcon;jupiter
johann_pachelbel;microsoft_windows
crown_jewels_of_the_united_kingdom;jersey_zoological_park
east_flemish;household_income_in_the_united_states
rhode_island;war_of_the_league_of_cambrai
swift;tea
history_of_democracy;romania
craton;paraguay
music_of_martinique_and_guadeloupe;qatar
luxembourg;dominican_republic
congo_river;rupee
capitalism;mali
newspaper;united_states_dollar
